City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
238,kismayo,-0.3582,42.5454,25.96,79,55,7.75,SO,2024-06-10 02:47:50
239,awjilah,29.1081,21.2869,24.4,37,0,1.34,LY,2024-06-10 02:47:50
240,elektrenai,54.7667,24.6333,11.6,96,11,2.97,LT,2024-06-10 02:47:51
241,mingelchaur,40.764,47.0595,23.16,69,100,2.83,AZ,2024-06-10 02:47:51
242,al ain city,24.1917,55.7606,29.79,54,0,5.14,AE,2024-06-10 02:47:51
243,diamantino,-14.4086,-56.4461,20.99,55,0,2.55,BR,2024-06-10 02:47:51
244,mata-utu,-13.2816,-176.1745,27.56,74,83,9.34,WF,2024-06-10 02:47:52
245,mwene-ditu,-7.0,23.45,16.11,50,7,2.58,CD,2024-06-10 02:47:52
246,prudhoe,54.9615,-1.8517,8.97,87,40,6.69,GB,2024-06-10 02:47:52
247,chibougamau,49.9168,-74.3659,13.79,100,100,2.57,CA,2024-06-10 02:47:52
248,tarakan,3.3,117.6333,26.72,94,40,0.0,ID,2024-06-10 02:47:53
249,butte,39.6499,-121.5677,30.01,37,0,4.63,US,2024-06-10 02:47:53
250,savanna-la-mar,18.219,-78.1332,28.97,89,100,2.44,JM,2024-06-10 02:47:53
251,filingue,14.3521,3.3168,34.59,36,81,6.3,NE,2024-06-10 02:47:53
252,joao camara,-5.5375,-35.8197,22.4,92,21,4.94,BR,2024-06-10 02:47:53
253,udachny,66.4167,112.4,21.36,32,33,4.05,RU,2024-06-10 02:47:54
254,upanema,-5.6419,-37.2578,24.38,72,8,5.59,BR,2024-06-10 02:47:54
255,laguna,38.421,-121.4238,28.08,43,0,5.14,US,2024-06-10 02:47:54
256,paita,-5.0892,-81.1144,19.16,80,4,5.06,PE,2024-06-10 02:47:54
257,bikenibeu village,1.3673,173.1241,30.98,70,75,3.09,KI,2024-06-10 02:47:54
258,biltine,14.5333,20.9167,30.23,41,100,3.11,TD,2024-06-10 02:47:55
259,tari,12.4086,4.4914,28.89,60,96,7.02,NG,2024-06-10 02:47:55
260,kayangel,8.0823,134.7173,29.06,73,35,2.21,PW,2024-06-10 02:47:55
261,santuario,6.1383,-75.2642,16.25,94,75,0.0,CO,2024-06-10 02:47:55
262,sidareja,-7.4846,108.7923,29.99,67,43,2.3,ID,2024-06-10 02:47:56
263,vadso,70.0744,29.7487,5.49,93,100,8.75,NO,2024-06-10 02:47:56
264,northam,51.0333,-4.2167,13.12,88,100,9.68,GB,2024-06-10 02:47:56
265,lijiang,26.8688,100.2207,21.07,72,56,1.88,CN,2024-06-10 02:43:30
266,tadine,-21.55,167.8833,25.18,74,100,1.29,NC,2024-06-10 02:47:56
267,ubaitaba,-14.3125,-39.3233,20.45,100,95,1.27,BR,2024-06-10 02:47:57
268,novodvinsk,64.4165,40.8122,10.86,74,31,3.54,RU,2024-06-10 02:45:38
269,teutonia,-29.4481,-51.8064,20.99,89,17,2.19,BR,2024-06-10 02:47:57
270,bohain-en-vermandois,49.9873,3.453,11.92,87,99,3.81,FR,2024-06-10 02:47:57
271,kabba,7.8287,6.0731,23.05,91,97,3.94,NG,2024-06-10 02:47:57
272,sinop,41.7711,34.8709,16.52,68,48,3.56,TR,2024-06-10 02:47:57
273,kruisfontein,-34.0033,24.7314,10.84,64,14,2.16,ZA,2024-06-10 02:47:58
274,jiangyou,31.7667,104.7167,26.43,55,70,2.18,CN,2024-06-10 02:47:58
275,sur,22.5667,59.5289,31.33,54,0,3.75,OM,2024-06-10 02:47:58
276,kingston,17.997,-76.7936,28.53,74,20,6.69,JM,2024-06-10 02:47:58
277,tomatlan,19.9333,-105.25,22.97,84,4,1.44,MX,2024-06-10 02:47:58
278,caleta de carquin,-11.0925,-77.6267,17.58,86,59,3.61,PE,2024-06-10 02:47:59
279,fallon,39.4735,-118.7774,32.93,16,40,5.14,US,2024-06-10 02:47:59
280,trondheim,63.4305,10.3951,12.05,86,100,0.89,NO,2024-06-10 02:47:59
281,vilhena,-12.7406,-60.1458,18.91,58,3,1.37,BR,2024-06-10 02:47:59
282,las margaritas,16.3167,-91.9833,17.51,99,100,0.22,MX,2024-06-10 02:47:59
283,ixtapa,20.7,-105.2,27.35,80,60,0.89,MX,2024-06-10 02:48:00
284,mazamari,-11.3258,-74.5308,20.06,76,0,0.95,PE,2024-06-10 02:48:00
285,zhelezinka,53.54,75.3072,21.17,74,39,6.18,KZ,2024-06-10 02:48:00
286,zhangjiakou,40.81,114.8794,26.44,35,38,1.01,CN,2024-06-10 02:48:00
287,taoudenni,22.6783,-3.9836,35.57,17,0,5.31,ML,2024-06-10 02:48:01
288,luanda,-8.8368,13.2343,23.0,88,20,2.06,AO,2024-06-10 02:48:01
289,nelson bay,-32.7167,152.15,18.89,62,3,0.89,AU,2024-06-10 02:48:01
290,namibe,-15.1961,12.1522,19.8,85,2,2.44,AO,2024-06-10 02:48:01
291,aldinga beach,-35.2793,138.4604,19.68,59,100,6.25,AU,2024-06-10 02:48:01
292,gunjur,13.2019,-16.7339,24.04,88,40,2.06,GM,2024-06-10 02:48:02
293,cooper's town,26.8667,-77.5167,28.73,72,1,5.67,BS,2024-06-10 02:48:02
294,purpe,64.4803,76.6897,15.58,42,88,4.16,RU,2024-06-10 02:48:02
295,enewetak,11.3474,162.3373,28.49,81,16,6.96,MH,2024-06-10 02:48:02
296,jacmel,18.2342,-72.5347,28.91,87,100,1.07,HT,2024-06-10 02:48:02
297,polyarnyy,69.1989,33.4478,7.52,83,66,2.43,RU,2024-06-10 02:46:43
298,dom pedrito,-30.9828,-54.6731,18.25,93,88,1.8,BR,2024-06-10 02:48:03
299,faya-largeau,17.9257,19.1043,31.76,15,11,4.95,TD,2024-06-10 02:48:03
300,al kharijah,25.4514,30.5464,26.35,24,0,3.25,EG,2024-06-10 02:48:03
301,iskateley,67.6803,53.1512,1.68,87,100,4.47,RU,2024-06-10 02:48:04
302,miri,4.4148,114.0089,31.08,79,40,3.09,MY,2024-06-10 02:48:04
303,qarauyl,48.9451,79.255,28.79,31,39,2.74,KZ,2024-06-10 02:48:04
304,jever,53.5833,7.9,11.68,93,99,1.03,DE,2024-06-10 02:48:04
305,port shepstone,-30.7414,30.455,14.22,56,0,3.41,ZA,2024-06-10 02:48:04
306,kiunga,-6.1219,141.2906,27.18,90,65,2.14,PG,2024-06-10 02:48:05
307,bengkulu,-3.8004,102.2655,28.76,69,45,1.01,ID,2024-06-10 02:48:05
308,santa ana,33.7456,-117.8678,24.29,74,40,4.12,US,2024-06-10 02:39:21
309,nema,57.5067,50.5011,16.1,70,93,1.92,RU,2024-06-10 02:48:05
310,ta`u,-14.2336,-169.5144,26.57,63,86,9.12,AS,2024-06-10 02:48:05
311,puerto baquerizo moreno,-0.9,-89.6,22.25,89,69,3.79,EC,2024-06-10 02:48:05
312,hammamet,36.4,10.6167,20.92,65,68,3.0,TN,2024-06-10 02:48:06
313,bam,29.106,58.357,29.79,12,0,6.55,IR,2024-06-10 02:48:06
314,tabuk,17.4189,121.4443,30.6,69,91,2.51,PH,2024-06-10 02:46:20
315,vale da amoreira,39.0697,-7.6985,14.05,97,79,1.66,PT,2024-06-10 02:48:06
316,suva,-18.1416,178.4415,26.71,69,75,4.12,FJ,2024-06-10 02:48:06
317,suya,9.4667,3.1833,22.59,95,100,3.44,NG,2024-06-10 02:48:07
318,mariehamn,60.0973,19.9348,10.92,82,20,6.17,AX,2024-06-10 02:48:07
319,kanniyakumari,8.0833,77.5667,27.9,79,32,7.65,IN,2024-06-10 02:48:07
320,lompoc,34.6391,-120.4579,19.32,76,0,5.66,US,2024-06-10 02:48:07
321,kilembe,0.2,30.0,16.36,80,74,1.33,UG,2024-06-10 02:48:08
322,calvinia,-31.4707,19.776,9.48,56,5,4.46,ZA,2024-06-10 02:48:08
323,sinan,34.8262,126.1086,27.06,81,54,4.4,KR,2024-06-10 02:48:08
324,goianira,-16.4961,-49.4264,19.9,64,38,2.44,BR,2024-06-10 02:48:08
325,al mijlad,11.0333,27.7333,28.67,53,85,4.53,SD,2024-06-10 02:48:09
326,sarikei,2.1167,111.5167,33.34,51,99,0.61,MY,2024-06-10 02:48:09
327,coaldale,49.7167,-112.6185,19.62,55,100,4.12,CA,2024-06-10 02:48:09
328,igarka,67.4667,86.5833,11.11,76,86,3.6,RU,2024-06-10 02:48:09
329,salekhard,66.53,66.6019,17.45,59,71,3.26,RU,2024-06-10 02:48:10
330,sawakin,19.1059,37.3321,31.73,40,14,1.94,SD,2024-06-10 02:48:10
331,pangody,65.85,74.4859,13.39,51,100,7.67,RU,2024-06-10 02:48:10
332,khanty-mansiysk,61.0042,69.0019,19.06,52,0,4.0,RU,2024-06-10 02:48:10
333,novaya igirma,57.1334,103.9112,11.8,96,100,0.73,RU,2024-06-10 02:48:10
